ボス戦名,個体名,体数,HP,経験値,ゴールド,出現場所,特徴メモ
カンダタ,カンダタ,1,180,550,410,岩山の洞窟,
ようじゅつし,ようじゅつし,1,360,700,540,岩山の洞窟,
よろいのきし,よろいのきし,1,120,478,204,妖精の隠れ里,
よろいのきし,かげのきし,4,90,,,妖精の隠れ里,
ドラゴン,ドラゴン,1,2200,2540,2200,沼地の洞窟,
ダークドリーマー,ダークドリーマー,3,230,1470,270,迷いの森,
ゴーレム,ゴーレム,1,2100,5110,506,メルキドの町,
ドラゴンフライ,ドラゴンフライ,6,160,1170,330,岩泣き島,
ドラゴンゾンビ,ドラゴンゾンビ,2,690,1760,42,妖精の隠れ里,
エイリアンフライ,エイリアンフライ,1,2100,10230,3450,マイラの村,
エイリアンフライ,ドラゴンゾンビ,2,160,,,マイラの村,
マーダーゴイル,マーダーゴイル,1,2500,17370,5630,雨のほこら,
エクソダス,エクソダス,1,2500,22060,6680,精霊のほこら,
りゅうおう,りゅうおう,1,3200,19860,0,竜王の城・地下6階,
竜王,竜王,1,4800,,0,竜王の城・地下6階,
